treatment	stain	dosed_dpi	region	animal	score	necrosis	autolytic
PBS	GFAP	60	Thalamus	2	2	0	0
PBS	GFAP	60	Thalamus	3	2	0	0
PBS	GFAP	60	Thalamus	4	NA	NA	NA
PBS	GFAP	30	Thalamus	1	2	0	0
PBS	GFAP	30	Thalamus	2	2	0	0
PBS	GFAP	30	Thalamus	3	2	0	0
PBS	GFAP	30	Thalamus	4	2	0	0
PBS	GFAP	-14	Thalamus	1	2	0	0
PBS	GFAP	-14	Thalamus	2	2	0	0
PBS	GFAP	-14	Thalamus	3	2	0	0
PBS	GFAP	-14	Thalamus	4	2	0	0
PBS	GFAP	123	midbrain	1	2	0	0
PBS	GFAP	123	midbrain	2	2	0	0
PBS	GFAP	123	midbrain	3	1	0	0
PBS	GFAP	123	midbrain	4	2	0	0
PBS	GFAP	90	midbrain	1	1	0	0
PBS	GFAP	90	midbrain	2	2	0	0
PBS	GFAP	90	midbrain	3	2	0	0
PBS	GFAP	90	midbrain	4	NA	NA	NA
PBS	GFAP	60	midbrain	1	NA	NA	NA
PBS	GFAP	60	midbrain	2	2	0	0
PBS	GFAP	60	midbrain	3	2	0	0
PBS	GFAP	60	midbrain	4	NA	NA	NA
PBS	GFAP	30	midbrain	1	1	0	0
PBS	GFAP	30	midbrain	2	1	0	0
PBS	GFAP	30	midbrain	3	1	0	0
PBS	GFAP	30	midbrain	4	2	0	0
PBS	GFAP	-14	midbrain	1	1	0	0
PBS	GFAP	-14	midbrain	2	1	0	0
PBS	GFAP	-14	midbrain	3	2	0	0
PBS	GFAP	-14	midbrain	4	2	0	0
PBS	GFAP	123	Cereb_mol layer	1	1	0	0
PBS	GFAP	123	Cereb_mol layer	2	1	0	0
PBS	GFAP	123	Cereb_mol layer	3	1	0	0
PBS	GFAP	123	Cereb_mol layer	4	1	0	0
PBS	GFAP	90	Cereb_mol layer	1	1	0	0
PBS	GFAP	90	Cereb_mol layer	2	1	0	0
PBS	GFAP	90	Cereb_mol layer	3	1	0	0
PBS	GFAP	90	Cereb_mol layer	4	NA	NA	NA
PBS	GFAP	60	Cereb_mol layer	1	1	0	0
PBS	GFAP	60	Cereb_mol layer	2	1	0	0
PBS	GFAP	60	Cereb_mol layer	3	0	0	0
PBS	GFAP	60	Cereb_mol layer	4	NA	NA	NA
PBS	GFAP	30	Cereb_mol layer	1	1	0	0
PBS	GFAP	30	Cereb_mol layer	2	1	0	0
PBS	GFAP	30	Cereb_mol layer	3	1	0	0
PBS	GFAP	30	Cereb_mol layer	4	1	0	0
PBS	GFAP	-14	Cereb_mol layer	1	1	0	0
PBS	GFAP	-14	Cereb_mol layer	2	1	0	0
PBS	GFAP	-14	Cereb_mol layer	3	1	0	0
PBS	GFAP	-14	Cereb_mol layer	4	1	0	0
PBS	GFAP	123	Cereb_gran layer	1	1	0	0
PBS	GFAP	123	Cereb_gran layer	2	2	0	0
PBS	GFAP	123	Cereb_gran layer	3	1	0	0
PBS	GFAP	123	Cereb_gran layer	4	2	0	0
PBS	GFAP	90	Cereb_gran layer	1	1	0	0
PBS	GFAP	90	Cereb_gran layer	2	1	0	0
PBS	GFAP	90	Cereb_gran layer	3	1	0	0
PBS	GFAP	90	Cereb_gran layer	4	NA	NA	NA
PBS	GFAP	60	Cereb_gran layer	1	1	0	0
PBS	GFAP	60	Cereb_gran layer	2	1	0	0
PBS	GFAP	60	Cereb_gran layer	3	1	0	0
PBS	GFAP	60	Cereb_gran layer	4	NA	NA	NA
PBS	GFAP	30	Cereb_gran layer	1	1	0	0
PBS	GFAP	30	Cereb_gran layer	2	1	0	0
PBS	GFAP	30	Cereb_gran layer	3	1	0	0
PBS	GFAP	30	Cereb_gran layer	4	1	0	0
PBS	GFAP	-14	Cereb_gran layer	1	1	0	0
PBS	GFAP	-14	Cereb_gran layer	2	1	0	0
PBS	GFAP	-14	Cereb_gran layer	3	1	0	0
PBS	GFAP	-14	Cereb_gran layer	4	1	0	0
PBS	GFAP	123	Cereb_peduncle	1	2	0	0
PBS	GFAP	123	Cereb_peduncle	2	2	0	0
PBS	GFAP	123	Cereb_peduncle	3	2	0	0
PBS	GFAP	123	Cereb_peduncle	4	2	0	0
PBS	GFAP	90	Cereb_peduncle	1	1	0	0
PBS	GFAP	90	Cereb_peduncle	2	2	0	0
PBS	GFAP	90	Cereb_peduncle	3	2	0	0
PBS	GFAP	90	Cereb_peduncle	4	NA	NA	NA
PBS	GFAP	60	Cereb_peduncle	1	NA	NA	NA
PBS	GFAP	60	Cereb_peduncle	2	2	0	0
PBS	GFAP	60	Cereb_peduncle	3	2	0	0
PBS	GFAP	60	Cereb_peduncle	4	NA	NA	NA
PBS	GFAP	30	Cereb_peduncle	1	1	0	0
PBS	GFAP	30	Cereb_peduncle	2	2	0	0
PBS	GFAP	30	Cereb_peduncle	3	2	0	0
PBS	GFAP	30	Cereb_peduncle	4	1	0	0
PBS	GFAP	-14	Cereb_peduncle	1	2	0	0
PBS	GFAP	-14	Cereb_peduncle	2	2	0	0
PBS	GFAP	-14	Cereb_peduncle	3	2	0	0
PBS	GFAP	-14	Cereb_peduncle	4	2	0	0
PBS	GFAP	123	medulla	1	2	0	0
PBS	GFAP	123	medulla	2	2	0	0
PBS	GFAP	123	medulla	3	2	0	0
PBS	GFAP	123	medulla	4	2	0	0
PBS	GFAP	90	medulla	1	1	0	0
PBS	GFAP	90	medulla	2	1	0	0
PBS	GFAP	90	medulla	3	1	0	0
PBS	GFAP	90	medulla	4	NA	NA	NA
PBS	GFAP	60	medulla	1	NA	NA	NA
PBS	GFAP	60	medulla	2	2	0	0
PBS	GFAP	60	medulla	3	2	0	0
PBS	GFAP	60	medulla	4	NA	NA	NA
PBS	GFAP	30	medulla	1	1	0	0
PBS	GFAP	30	medulla	2	2	0	0
PBS	GFAP	30	medulla	3	1	0	0
PBS	GFAP	30	medulla	4	2	0	0
PBS	GFAP	-14	medulla	1	2	0	0
PBS	GFAP	-14	medulla	2	2	0	0
PBS	GFAP	-14	medulla	3	1	0	0
PBS	GFAP	-14	medulla	4	2	0	0
PBS	GFAP	123	Subiculum	1	2	0	0
PBS	GFAP	123	Subiculum	2	2	0	0
PBS	GFAP	123	Subiculum	3	2	0	0
PBS	GFAP	123	Subiculum	4	2	0	0
PBS	GFAP	90	Subiculum	1	2	0	0
PBS	GFAP	90	Subiculum	2	2	0	0
PBS	GFAP	90	Subiculum	3	2	0	0
PBS	GFAP	90	Subiculum	4	NA	NA	NA
PBS	GFAP	60	Subiculum	1	1	0	0
PBS	GFAP	60	Subiculum	2	2	0	0
PBS	GFAP	60	Subiculum	3	2	0	0
PBS	GFAP	60	Subiculum	4	NA	NA	NA
PBS	GFAP	30	Subiculum	1	2	0	0
PBS	GFAP	30	Subiculum	2	2	0	0
PBS	GFAP	30	Subiculum	3	2	0	0
PBS	GFAP	30	Subiculum	4	2	0	0
PBS	GFAP	-14	Subiculum	1	2	0	0
PBS	GFAP	-14	Subiculum	2	2	0	0
PBS	GFAP	-14	Subiculum	3	2	0	0
PBS	GFAP	-14	Subiculum	4	2	0	0
PBS	Iba1	123	Fiber tracts	1	1	0	0
PBS	Iba1	123	Fiber tracts	2	1	0	0
PBS	Iba1	123	Fiber tracts	3	2	0	0
PBS	Iba1	123	Fiber tracts	4	1	0	0
PBS	Iba1	90	Fiber tracts	1	1	0	0
PBS	Iba1	90	Fiber tracts	2	1	0	0
PBS	Iba1	90	Fiber tracts	3	2	0	0
PBS	Iba1	90	Fiber tracts	4	NA	NA	NA
PBS	Iba1	60	Fiber tracts	1	1	0	0
PBS	Iba1	60	Fiber tracts	2	2	0	0
PBS	Iba1	60	Fiber tracts	3	2	0	0
PBS	Iba1	60	Fiber tracts	4	NA	NA	NA
PBS	Iba1	30	Fiber tracts	1	2	0	0
PBS	Iba1	30	Fiber tracts	2	2	0	0
PBS	Iba1	30	Fiber tracts	3	2	0	0
PBS	Iba1	30	Fiber tracts	4	2	0	0
PBS	Iba1	-14	Fiber tracts	1	2	0	0
PBS	Iba1	-14	Fiber tracts	2	2	0	0
PBS	Iba1	-14	Fiber tracts	3	2	0	0
PBS	Iba1	-14	Fiber tracts	4	2	0	0
PBS	Iba1	123	Cortex	1	2	0	0
PBS	Iba1	123	Cortex	2	2	0	0
PBS	Iba1	123	Cortex	3	2	0	0
PBS	Iba1	123	Cortex	4	2	0	0
PBS	Iba1	90	Cortex	1	2	0	0
PBS	Iba1	90	Cortex	2	1	0	0
PBS	Iba1	90	Cortex	3	2	0	0
PBS	Iba1	90	Cortex	4	NA	NA	NA
PBS	Iba1	60	Cortex	1	2	0	0
